City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,san patricio,28.017,-97.5169,89.46,50,100,3.04,US,1684096656
160,port elizabeth,-33.918,25.5701,60.31,79,57,1.99,ZA,1684096656
161,sao joao da barra,-21.6403,-41.0511,73.49,69,84,7.07,BR,1684096656
162,sisimiut,66.9395,-53.6735,29.07,68,100,6.04,GL,1684096657
163,dire dawa,9.5931,41.8661,74.75,64,60,8.25,ET,1684096658
164,flying fish cove,-10.4217,105.6791,78.48,78,40,13.8,CX,1684096658
165,sitka,57.0531,-135.33,61.39,62,69,2.46,US,1684096658
166,alice springs,-23.7,133.8833,54.95,94,100,13.02,AU,1684096659
167,jayapura,-2.5333,140.7,76.39,90,65,3.58,ID,1684096659
168,tual,-5.6667,132.75,82.0,77,82,5.03,ID,1684096660
169,kingston,17.997,-76.7936,88.25,68,20,23.02,JM,1684096592
170,ar ruways,24.1103,52.7306,82.72,56,0,16.55,AE,1684096661
171,huazhou,21.6333,110.5833,70.03,95,97,2.08,CN,1684096661
172,enewetak,11.3474,162.3373,81.9,74,92,15.37,MH,1684096662
173,san fernando,15.0286,120.6898,82.13,91,56,2.15,PH,1684096662
174,melilla,35.2937,-2.9383,71.98,30,0,3.44,ES,1684096663
175,guerrero negro,27.9769,-114.0611,70.21,54,0,13.6,MX,1684096429
176,khash,28.2211,61.2158,78.31,20,24,14.07,IR,1684096663
177,inhambane,-23.865,35.3833,71.44,80,51,4.59,MZ,1684096664
178,gao,16.6362,1.637,95.38,22,77,14.09,ML,1684096665
179,alaghsas,17.0187,8.0168,96.69,23,0,2.3,NE,1684096665
180,minas de marcona,-15.2119,-75.1103,67.24,68,32,10.56,PE,1684096666
181,egilsstadir,65.2653,-14.3948,31.91,69,100,12.66,IS,1684096671
182,aznalcollar,37.5491,-6.3166,72.99,34,3,4.32,ES,1684096672
183,quibdo,5.6947,-76.6611,84.54,84,75,3.44,CO,1684096576
184,chui,-33.6971,-53.4616,63.7,73,46,5.66,UY,1684096672
185,chonchi,-42.6128,-73.8092,61.81,90,88,3.04,CL,1684096673
186,mandiana,10.6333,-8.6833,83.84,53,63,2.98,GN,1684096673
187,ha'il,27.5219,41.6907,77.02,22,0,4.61,SA,1684096548
188,ilulissat,69.2167,-51.1,28.42,74,75,8.05,GL,1684096674
189,kalmunai,7.4167,81.8167,81.82,79,100,1.97,LK,1684096675
190,levuka,50.1834,-105.4011,71.42,35,0,6.02,CA,1684096675
191,nanga eboko,4.6833,12.3667,71.71,98,99,4.18,CM,1684096676
192,cabo san lucas,22.8909,-109.9124,86.61,47,0,3.44,MX,1684096550
193,cananeia,-25.0147,-47.9267,65.93,79,4,2.3,BR,1684096676
194,paracuru,-3.41,-39.0306,83.1,82,41,9.28,BR,1684096677
195,saint-philippe,-21.3585,55.7679,74.79,80,22,5.32,RE,1684096677
196,vimmerby,57.6659,15.8552,48.61,67,0,4.59,SE,1684096678
197,pariaman,-0.619,100.12,78.55,89,38,3.51,ID,1684096678
